"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"TXFDIF-LSMGH-25PPWO","O3Y2GL-ITFUE-IECOKI","ETH/USD","forex","2024-09-19 16:32:09.1102","sell","limit",2471.36000,9.88544,0.02471,0.00400000,0.00000,"","LFCSGR-U3H3Z-B2M7YI,LHUY5A-ATM3P-6ZFI47","TKH2SE-M7IF5-CFI7LT","","","","","","","",9.88544,""
"TUK2SN-GDFKO-CV5LYW","O2T2ZL-O3MRF-VBIAC4","BTC/USD","forex","2024-09-19 16:34:59.2715","sell","limit",63386.30000,6.33863,0.01585,0.00010000,0.00000,"","L4VWFQ-NO5HP-7RFNCH,LLS4KI-LM4PI-35KXKI","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.33863,""
"T6EBCO-N6JDK-4E75ZQ","OFHNF4-NYXNK-RVGJOR","BTC/USD","forex","2024-09-19 19:20:46.649","buy","limit",63358.80000,6.33588,0.01584,0.00010000,0.00000,"","L5RWRD-AKU53-AANNSS,LNXW27-YVEHL-USVVGX","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.33588,""
"TM6DWT-NGPPV-LUF4RK","OKHWTP-JDMDU-CORWLR","ADA/USD","forex","2024-09-19 19:53:11.154","buy","limit",0.352710,7.054200,0.017636,20.00000000,0.000000,"","LI4CR2-A7SKT-CUMGFX,L7TBSW-YUTBS-2QMOTQ","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.054200,""
"TG3W5M-KD2GI-CGS4CV","OFPGXN-BXEJV-3XAS4P","ETH/USD","forex","2024-09-19 19:54:20.5503","buy","limit",2462.76000,4.92552,0.01231,0.00200000,0.00000,"","LLPWW2-VAYHT-RJWYYK,LVBJVV-Y6KC6-CNC5SS","TKH2SE-M7IF5-CFI7LT","","","","","","","",4.92552,""
"TI6CIR-QWJDH-5UQPY6","OB6TEE-QEQOV-7X5L3U","BTC/USD","forex","2024-09-19 21:02:58.04","buy","limit",62992.00000,6.29920,0.01575,0.00010000,0.00000,"","LMBYRJ-HW7CO-6UGB7K,LWVSY7-CXMHU-BSTFFN","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.29920,""
"T2KU4U-HH6A7-7YVSQV","O3TM55-VG47A-PUZIUN","ADA/USD","forex","2024-09-19 21:49:22.4863","buy","limit",0.351560,7.031200,0.017578,20.00000000,0.000000,"","LNKJMM-SROMA-IYEL6F,LMQJJP-LX3G4-SQ6QMF","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.031200,""
"T5KRTG-AORZV-FSXHAI","O7MTWO-NV566-DQ3CHE","SOL/USD","forex","2024-09-19 21:55:23.399","buy","limit",142.47000,5.69880,0.01425,0.04000000,0.00000,"","LK6MEK-ZNWX2-2WPM3O,LAO5UT-FK5V7-RS7SP2","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.69880,""
"TEDA5Y-AWVZQ-UGMYL7","OB33YC-LZ7ZW-QDYJBO","SOL/USD","forex","2024-09-19 21:57:07.5194","buy","limit",142.33000,5.69320,0.01423,0.04000000,0.00000,"","LTK3FJ-FKHW4-ZXYH6M,LXMTLC-N52ZZ-5V4PL7","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.69320,""
"T6OD4X-65ZHV-3DXV3T","O632R3-2NNWC-RU47LQ","SOL/USD","forex","2024-09-19 22:36:22.3879","sell","limit",142.75000,5.71000,0.01428,0.04000000,0.00000,"","LRNQWO-WLU3X-KVC7T3,LACZ75-EJLQW-LDTLN5","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.71000,""
"TUGXTU-PKJW5-4JTK2I","OFQBMR-HTSFS-NUF6ES","ETH/USD","forex","2024-09-20 00:35:38.1254","buy","limit",2454.21000,4.90842,0.01227,0.00200000,0.00000,"","L4Y4JG-TJHF2-OXKICN,LSGOBW-O6MYH-6B3ZFE","TKH2SE-M7IF5-CFI7LT","","","","","","","",4.90842,""
